X,Y,Date_Inventoried,Species,Condition,Neighborhood,Family,Genus,Common,Size
-122.654673867094,45.5493852589463,2015-08-22,MAAP,Fair,SABIN,Rosaceae,Malus,apple,M
-122.517250667518,45.5420502845826,2016-05-19,FA,Good,RUSSELL,Fagaceae,Fagus,beech,L
-122.640075071426,45.5809551646722,2016-08-26,ACPL,Fair,SUNDERLAND,Sapindaceae,Acer,"maple, Norway",M
-122.731119561728,45.576948761111,2016-09-08,CA,Poor,UNIVERSITY PARK,Betulaceae,Carpinus,hornbeam,M
-122.634885296518,45.5515932460809,2016-08-22,CR,Poor,ALAMEDA,Rosaceae,Crataegus,hawthorn,S
-122.654291135376,45.4928008532665,2013-07-13,CO,Fair,BROOKLYN,Cornaceae,Cornus,dogwood,S
-122.651836673016,45.4777248723854,2011-07-30,ACPL,Good,SELLWOOD-MORELAND,Sapindaceae,Acer,"maple, Norway",M
-122.666189084159,45.574482159071,2013-10-10,CO,Fair,PIEDMONT,Cornaceae,Cornus,dogwood,S
-122.584411464308,45.489984262634,2014-07-26,TI,Good,FOSTER-POWELL,Malvaceae,Tilia,linden,L
-122.644162220915,45.5271696495934,2014-07-28,PY,Fair,KERNS,Rosaceae,Pyrus,pear,M
-122.568419148072,45.5369333421446,2016-07-27,PY,Fair,MADISON SOUTH,Rosaceae,Pyrus,pear,M
-122.763627797026,45.5954719388151,2013-07-05,SY,Good,CATHEDRAL PARK,Oleaceae,Syringa,lilac tree,S
-122.651515837916,45.5224297038005,2015-09-19,QU,Fair,BUCKMAN,Fagaceae,Quercus,"oak, deciduous",L
-122.577671057982,45.5081775125958,2015-07-25,PY,Fair,MONTAVILLA,Rosaceae,Pyrus,pear,M
-122.611649432057,45.4879980317014,2013-08-24,PRPL,Good,WOODSTOCK,Rosaceae,Prunus,plum,S
-122.547361821244,45.553521148831,2015-06-24,CR,Good,PARKROSE,Rosaceae,Crataegus,hawthorn,S
-122.698218758159,45.5298573187898,2012-08-31,ACRU,Good,NORTHWEST DISTRICT,Sapindaceae,Acer,"maple, red",M
-122.603140456735,45.5243144088905,2015-07-25,MA,Fair,NORTH TABOR,Rosaceae,Malus,crabapple,S
